,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
250,현대오일뱅크㈜직영 효진주유소,현대오일뱅크,서울 성동구 동일로 129,"1,639","1,839",ON,OFF,OFF,OFF,OFF
251,현대오일뱅크(주) 성동셀프주유소,현대오일뱅크,서울 성동구 마장로 311 (마장동),"1,659","1,829",ON,OFF,OFF,OFF,OFF
252,SK에너지(주) 군자동주유소,SK에너지,서울 성동구 천호대로 446 (용답동),"1,669","1,869",ON,OFF,OFF,OFF,ON
253,아이콘주유소,S-OIL,서울 성동구 고산자로 273 (도선동),"1,678","1,848",ON,OFF,OFF,OFF,ON
254,지에스칼텍스㈜ 도루코주유소,GS칼텍스,서울 성동구 아차산로 180,"1,683","1,885",ON,OFF,ON,OFF,ON
255,삼우주유소,SK에너지,서울 성동구 천호대로 392,"1,698","1,898",ON,OFF,OFF,OFF,OFF
256,SK에너지(주) 성수주유소,SK에너지,서울 성동구 뚝섬로 352 (성수동1가),"1,779","1,958",ON,OFF,OFF,OFF,OFF
257,SK KH에너지 성수만세주유소,SK에너지,서울 성동구 왕십리로 109,"1,788","1,958",ON,OFF,ON,ON,OFF
258,SK세원2주유소,SK에너지,서울 성동구 광나루로 184 (성수동1가),"1,815","1,980",ON,OFF,ON,OFF,OFF
259,금호주유소,GS칼텍스,서울 성동구 금호로 39 (금호동4가),"1,896","2,043",OFF,OFF,OFF,OFF,OFF
260,동일주유소,현대오일뱅크,서울 성동구 광나루로 254 (성수동2가),"1,993","2,165",ON,OFF,OFF,OFF,OFF
261,청계로주유소,SK에너지,서울 성동구 청계천로 454 (하왕십리동),"2,098","2,197",ON,OFF,OFF,OFF,OFF
262,(주)옥수하이웨이스테이션,GS칼텍스,서울 성동구 독서당로 168 (옥수동),"2,189","2,298",OFF,OFF,OFF,OFF,OFF
263,위례드림주유소,S-OIL,서울시 송파구  위례중앙로 10,"1,653","1,824",ON,OFF,OFF,OFF,ON
264,위례제일주유소,S-OIL,서울 송파구 위례서로 260,"1,653","1,824",ON,OFF,OFF,OFF,OFF
265,남성대주유소,SK에너지,서울 송파구 송파대로 52 (장지동),"1,673","1,853",ON,OFF,ON,OFF,ON
266,상아주유소,S-OIL,서울 송파구 거마로 82,"1,673","1,833",ON,OFF,OFF,OFF,OFF
267,삼화주유소,GS칼텍스,서울 송파구 백제고분로 125,"1,675","1,860",OFF,OFF,OFF,OFF,ON
268,지에스이앤알 직영 송파제일주유소,현대오일뱅크,서울 송파구 삼학사로 50 (석촌동),"1,675","1,859",ON,OFF,ON,OFF,ON
269,(주)삼표에너지 아시아주유소,GS칼텍스,서울 송파구 도곡로 438 (잠실동),"1,675","1,860",ON,OFF,OFF,OFF,OFF
270,완불주유소,SK에너지,서울 송파구 송파대로 3 (장지동),"1,675","1,862",ON,OFF,OFF,OFF,ON
271,한강에너지(주)퍼스트주유소,SK에너지,서울 송파구 삼학사로 22 (석촌동),"1,677","1,860",ON,OFF,ON,OFF,OFF
272,방이주유소,SK에너지,서울 송파구 위례성대로12길 38 (방이동),"1,678","1,878",ON,OFF,ON,OFF,OFF
273,삼전셀프주유소,SK에너지,서울 송파구 백제고분로 199,"1,678","1,878",ON,OFF,OFF,OFF,ON
274,(주)잠실에너지,S-OIL,서울 송파구 송파대로 442 (송파동),"1,678","1,879",ON,OFF,ON,OFF,ON
275,(주)뉴명성산업 남성주유소,현대오일뱅크,서울 송파구 백제고분로 474 (방이동),"1,678","1,889",ON,OFF,OFF,OFF,OFF
276,백제고분로주유소,SK에너지,서울 송파구 오금로 143 (방이동),"1,678","1,878",ON,OFF,ON,ON,ON
277,대성주유소,SK에너지,서울 송파구 마천로 230 (마천동),"1,688","1,838",ON,OFF,OFF,OFF,OFF
278,(주)신화에너지 서울지점,SK에너지,서울 송파구 가락로 47 (석촌동),"1,688","1,869",ON,OFF,ON,OFF,ON
279,현대오일뱅크㈜직영 잠실셀프주유소,현대오일뱅크,서울 송파구 송파대로 397 (석촌동),"1,695","1,879",OFF,OFF,OFF,OFF,ON
280,(주)삼표에너지 훼미리주유소,GS칼텍스,서울 송파구 중대로 58 (문정동),"1,697","1,878",ON,OFF,OFF,OFF,OFF
281,송파주유소,GS칼텍스,서울 송파구 송이로 28 (송파동),"1,697","1,889",OFF,OFF,ON,OFF,OFF
