,title,isbn,publisher,pubdate,language
562,파이썬으로 구현하는 고급 머신 러닝 (딥러닝을 포함한 최신 고급 머신 러닝 기술과 파이썬 활용),9791161750354,에이콘출판,20170817,Python
563,파이썬을 이용한 비트코인 자동매매 (실시간 자동매매 시스템 개발 입문),9791196608804,파이스탁,20190218,Python
564,암호화폐 자동매매 시스템 만들기 with 파이썬 (대량의 시뮬레이션과 최적화 전략까지),9788997924967,로드북,20220302,Python
565,"머신 러닝 부트캠프 with 파이썬 (분류, 회귀 구현 방법과 실전 예제를 통해 제대로 된 학습 방법을 배운다!)",9791160504842,길벗,20180531,Python
566,파이썬 GUI 프로그래밍 쿡북 2/e (파이썬 3로 쉽고 빠르게 GUI 개발하기),9791161751474,에이콘출판,20180426,Python
567,예제로 배우는 파이썬 데이터 시각화 (파이썬초심자부터다양한데이터시각화예제학습이필요한독자들을위한필독서),9791161750040,에이콘출판,20170612,Python
568,Head First Python (머리에 쏙쏙 들어오는 파이썬 안내서),9788968482724,한빛미디어,20160320,Python
569,Python (머리에 쏙쏙 들어오는 파이썬 안내서),9788979148688,한빛미디어,20111028,Python
570,HEAD FIRST PROGRAMMING (파이썬으로 처음배우는 프로그래밍),9788979148190,한빛미디어,20110325,Python
571,"파이썬 기초의 모든 것, 14개의 코딩 이야기!",9788909202831,교학사,20180420,Python
572,초보자도 간단히 단숨에 배우는 파이썬 (쉽게 빠르게 편하게 시작하는 프로그래밍 입문),9791161340654,터닝포인트,20200413,Python
573,파이썬을 활용한 소프트웨어 아키텍처 (견고하고 확장 가능한 애플리케이션 아키텍처 설계),9791161754857,에이콘출판,20210104,Python
574,파이썬 딥러닝으로 시작하는 이상 징후 탐지 (한국어판),9791156008781,홍릉,20210924,Python
575,"파이썬 데이터 분석 실무 테크닉 100 (100가지 예제로 배우는 데이터 가공, 머신러닝, 이미지/자연어 처리의 기술)",9791158392178,위키북스,20200730,Python
576,잡아라! 텍스트 마이닝 with 파이썬 (지금 바로 할 수 있는 데이터 추출과 분석),9791186697788,비제이퍼블릭,20190430,Python
577,데이터 과학 기반의 파이썬 빅데이터 분석,9791156645078,한빛아카데미,20201230,Python
578,The Python 3 Standard Library by Example (예제로 배우는 파이썬 표준 라이브러리),9791161754307,에이콘출판,20200630,Python
579,파이썬 기반의 Natural 컴퓨팅,9791156007494,도서출판 홍릉(홍릉과학출판사),20200420,Python
580,인공지능 100점을 위한 파이썬 수학 (고등학교 수학으로 이해하는 인공지능),9791190014861,비제이퍼블릭,20200429,Python
581,파이썬(Python) 2학년 스크래핑의 구조 (체험으로 배우고! 대화 형식으로 공부!),9788931556896,성안당,20211117,Python
582,파이썬으로 배우는 자연어 처리 인 액션,9791190665018,제이펍,20200304,Python
583,"Hello 실전 파이썬 프로그래밍 world (게임 개발, 데이터 분석, 인공지능 제어까지 학습하는)",9791167640079,혜지원,20220114,Python
584,파이썬으로 배우는 소프트웨어 디자인 (디자인 사고 및 컴퓨팅 사고의 이해와 응용),9791185578613,인피니티북스,20200227,Python
585,유쾌한 코딩 (파이썬으로 시작하는 프로그래밍 기초),9791185578651,인피니티북스,20200313,Python
586,파이썬으로 다시 배우는 핵심 고등 수학 (수포자 프로그래머를 위한 손에 잡히는 기초 수학),9791158391775,위키북스,20191107,Python
587,바이오파이썬으로 만나는 생물정보학 (파이썬 프로그래밍을 통해 풀어보는 생명의 구조),9791186697818,비제이퍼블릭,20190322,Python
588,누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1 (독특하고 재이있는 예제로 파이썬을 시작하고 싶다면),9791190283670,잇플,20200124,Python
589,모두의 라즈베리파이 with 파이썬 (누구나 쉽게 배우는 전자 회로 공작과 사물 인터넷 파이썬 프로그래밍),9791160507027,길벗,20190120,Python
590,파이썬으로 시작하는 라즈베리파이 3 (개정판),9791159063541,복두출판사,20180306,Python
591,"Try! Helloworld 파이썬 (하루 15분, 누구나 프로그래밍을 할 수 있다!)",9791160501063,길벗,20170215,Python
592,파이썬을 활용한 네트워크 프로그래밍 (개발자와 관리자를 위한 효율적인 네트워크 애플리케이션 개발),9788960776432,에이콘출판,20150127,Python
593,파이썬으로 시작하는 컴퓨터 과학 입문,9788966264087,인사이트,20170818,Python
594,파이썬으로 배우는 수학적 프로그래밍 (이산 수학의 개념과 구조를 활용한 효율적 사고),9788965401049,프리렉,20150827,Python
595,코어 파이썬 애플리케이션 프로그래밍,9788960775213,에이콘출판,20140129,Python
596,보통의 취준생을 위한 코딩 테스트 with 파이썬 (백준 플래티넘 5 &코드포스 파란색 랭크 달성하기),9788997924950,로드북,20220223,Python
597,"핸즈온 파이썬을 이용한 설명가능한 AI(XAI) (공정하고, 안전하며, 믿을 수 있는 AI 애플케이션을 위한, 신뢰할 만한 AI 해석, 시각화 설명 및 통합핸즈온)",9791196965662,DK로드북스,20220110,Python
598,컴퓨팅 사고력을 키우는 SW 교육: 파이썬 (컴퓨팅 사고력을 키우는 SW 교육),9791156642701,한빛아카데미,20160720,Python
599,누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1 (너도 데이터 가지고 놀 수 있어!),9791196707903,토마토북,20190617,Python
600,모의 침투 입문자를 위한 파이썬 3 활용 (파이썬 3 기반의 TCP/IP 활용 지침서),9791161753973,에이콘출판,20200228,Python
601,파이썬과 주피터 노트북 기반의 SAS Viya,9791158083304,자유아카데미,20211020,Python
602,파이썬 라이브러리를 활용한 머신러닝 (사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서),9791162241646,한빛미디어,20190329,Python
603,파이썬으로 배우는 알고리즘 트레이딩 (내 손으로 만드는 자동 주식 거래 시스템),9791158391461,위키북스,20190307,Python
604,"파이썬으로 배우는 머신러닝의 교과서 (그림으로 이해하고 코드로 확인하는 머신러닝, 딥러닝 기초)",9791162241240,한빛미디어,20181101,Python
